NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-01,1.22,0.0,50,53,48
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-02,0.03,0.0,53,59,38
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-03,0.00,0.0,34,39,22
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-04,0.00,0.0,25,33,19
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-05,0.29,0.0,36,46,30
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-06,0.00,0.0,39,41,34
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-07,0.31,6.2,32,35,25
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-08,0.00,0.0,25,31,21
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-09,0.12,0.0,34,41,29
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-10,0.00,0.0,34,41,25
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-11,0.00,0.0,21,25,14
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-12,0.00,0.0,28,41,15
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-13,0.00,0.0,38,49,28
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-14,0.00,0.0,40,45,21
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-15,0.00,0.0,19,21,11
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-16,0.53,0.1,18,42,9
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-17,0.92,0.0,40,46,35
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-18,0.00,0.0,35,39,24
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-19,0.00,0.0,35,50,22
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-20,0.25,0.1,39,45,21
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-21,0.00,0.0,21,24,14
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-22,0.00,0.0,22,32,14
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-23,0.00,0.1,29,37,24
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-24,0.00,0.1,31,38,28
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-25,0.00,0.0,38,44,29
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-26,0.00,0.0,27,29,18
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-27,0.00,0.0,22,32,13
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-28,0.12,1.9,31,35,29
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-29,0.58,9.3,23,29,12
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-30,0.00,0.0,17,25,12
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-01-31,0.00,0.0,24,32,16
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-01,0.00,0.0,27,38,18
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-02,0.00,0.0,35,45,28
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-03,0.33,0.0,40,46,37
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-04,0.56,0.1,42,49,27
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-05,0.00,0.0,27,30,19
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-06,0.00,0.0,22,31,15
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-02-07,0.28,0.0,33,39,30
