NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-01,0.00,,55,61,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-02,0.00,,54,66,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-03,0.00,,53,60,44
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-04,0.00,,52,60,44
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-05,0.00,,54,65,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-06,0.00,,56,66,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-07,0.00,,53,57,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-08,0.00,,56,61,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-09,0.00,,57,75,46
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-10,0.00,,61,74,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-11,0.00,,65,79,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-12,0.00,,64,80,50
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-13,0.00,,62,69,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-14,0.00,,61,71,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-15,0.01,,61,70,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-16,0.00,,65,74,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-17,0.08,,62,65,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-18,0.00,,60,63,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-19,0.00,,58,62,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-20,0.00,,59,75,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-21,0.00,,58,69,49
