NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-01,1.01,0.0,58,64,52
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-02,0.20,0.0,41,52,28
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-03,0.00,0.0,27,33,21
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-04,0.00,0.0,29,44,21
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-05,0.00,0.0,42,47,22
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-06,0.05,0.7,21,23,16
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-07,0.00,0.0,15,17,11
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-08,0.09,0.0,20,42,12
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-09,0.62,0.0,40,45,22
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-10,0.00,0.0,24,31,16
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-11,0.00,0.0,21,32,13
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-12,0.00,0.0,37,49,31
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-13,0.01,0.0,39,48,33
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-14,0.00,0.0,35,36,32
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-15,0.00,0.0,30,34,25
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-16,0.14,1.1,26,30,20
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-17,0.00,0.0,27,28,25
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-18,0.00,0.0,30,41,26
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-19,0.00,0.0,42,52,27
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-20,0.00,0.0,26,27,20
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-21,0.00,0.0,21,26,15
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-22,0.00,0.0,19,33,9
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-23,0.00,0.0,28,38,17
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-24,0.12,0.1,25,40,14
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-25,0.00,0.0,29,32,15
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-26,0.00,0.0,15,23,5
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-27,0.01,0.3,21,35,11
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-28,0.09,3.4,29,30,12
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-29,0.00,0.0,14,23,3
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-30,0.00,0.0,25,40,16
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-01-31,0.00,0.0,29,41,20
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-01,0.00,0.0,41,61,29
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-02,0.88,0.0,45,49,35
